Date;Open;High;Low;Close;Adj Close;Volume
2012-07-31;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.2367582321167;0
2012-08-01;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.2367582321167;0
2012-08-02;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.2367582321167;0
2012-08-03;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.2367582321167;0
2012-08-06;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.2367582321167;0
2012-08-07;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.2367582321167;0
2012-08-08;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.2367582321167;0
2012-08-09;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.2367582321167;0
2012-08-10;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.2367582321167;0
2012-08-13;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.2367582321167;0
2012-08-14;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.2367582321167;0
2012-08-15;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-08-16;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-08-17;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-08-20;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-08-21;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-08-22;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-08-23;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-08-24;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-08-27;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-08-28;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-08-29;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-08-30;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-08-31;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-03;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-04;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-05;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-06;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-10;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-11;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-12;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-13;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-14;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-17;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-18;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-19;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-20;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-21;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-24;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-25;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-26;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-27;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-09-28;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-10-01;20.049999237060547;20.049999237060547;20.049999237060547;20.049999237060547;8.375712394714355;0
2012-10-02;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;100
2012-10-03;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-04;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-05;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-08;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-09;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-10;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-11;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-15;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-16;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-17;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-18;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-19;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-22;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-23;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-24;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-25;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-26;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-29;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-30;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-10-31;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-01;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-05;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-06;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-07;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-08;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-09;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-12;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-13;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-14;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-16;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-19;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-21;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-22;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-23;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-26;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-27;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-28;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-29;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-11-30;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-03;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-04;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-05;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-06;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-07;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-10;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-11;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-12;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-13;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-14;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-17;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-18;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-19;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-20;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-21;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-26;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-27;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2012-12-28;20.010000228881836;20.010000228881836;20.010000228881836;20.010000228881836;8.359000205993652;0
2013-01-02;23.0;23.0;23.0;23.0;9.608049392700195;100
2013-01-03;23.0;23.0;23.0;23.0;9.608049392700195;0
2013-01-04;23.0;23.0;23.0;23.0;9.608049392700195;0
2013-01-07;23.0;23.0;23.0;23.0;9.608049392700195;0
2013-01-08;23.0;23.0;23.0;23.0;9.608049392700195;0
2013-01-09;23.0;23.0;23.0;23.0;9.608049392700195;0
2013-01-10;23.0;23.0;23.0;23.0;9.608049392700195;0
2013-01-11;23.0;23.0;23.0;23.0;9.608049392700195;0
2013-01-14;23.0;23.0;23.0;23.0;9.608049392700195;0
2013-01-15;23.0;23.0;23.0;23.0;9.608049392700195;0
2013-01-16;23.0;23.0;23.0;23.0;9.608049392700195;0
2013-01-17;23.0;23.0;23.0;23.0;9.608049392700195;0
2013-01-18;23.0;23.0;23.0;23.0;9.608049392700195;0
2013-01-21;23.0;23.0;23.0;23.0;9.608049392700195;0
2013-01-22;23.0;23.0;23.0;23.0;9.608049392700195;0
2013-01-23;21.0;21.0;21.0;21.0;8.772566795349121;100
2013-01-24;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-01-28;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-01-29;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-01-30;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-01-31;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-01;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-04;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-05;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-06;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-07;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-08;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-13;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-14;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-15;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-18;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-19;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-20;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-21;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-22;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-25;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-26;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-27;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-02-28;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-01;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-04;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-05;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-06;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-07;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-08;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-11;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-12;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-13;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-14;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-15;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-18;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-19;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-20;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-21;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-22;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-25;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-26;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-27;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-03-28;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-01;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-02;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-03;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-04;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-05;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-08;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-09;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-10;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-11;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-12;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-15;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-16;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-17;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-18;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-19;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-22;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-23;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-24;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-25;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-26;21.0;21.0;21.0;21.0;8.772566795349121;0
2013-04-29;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-04-30;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-02;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-03;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-06;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-07;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-08;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-09;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-10;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-13;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-14;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-15;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-16;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-17;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-20;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-21;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-22;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-23;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-24;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-27;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-28;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-29;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-05-31;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-03;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-04;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-05;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-06;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-07;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-10;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-11;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-12;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-13;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-14;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-17;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-18;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-19;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-20;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-21;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-24;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-25;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-26;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-27;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-06-28;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-01;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-02;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-03;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-04;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-05;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-08;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-10;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-11;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-12;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-15;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-16;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-17;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-18;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-19;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-22;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-23;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-24;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-25;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-26;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-29;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-30;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-07-31;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-01;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-02;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-05;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-06;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-07;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-08;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-09;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-12;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-13;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-14;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-15;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-16;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-19;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-20;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-21;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-22;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-23;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-26;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-27;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-28;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-29;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-08-30;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-02;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-03;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-04;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-05;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-06;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-09;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-10;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-11;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-12;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-13;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-16;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-17;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-18;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-19;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-20;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-23;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-24;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-25;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-26;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-27;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-09-30;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-10-01;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-10-02;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-10-03;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-10-04;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-10-07;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-10-08;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-10-09;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-10-10;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-10-11;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-10-14;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-10-15;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-10-16;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-10-17;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-10-18;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-10-21;21.0;21.0;21.0;21.0;8.869017601013184;0
2013-10-22;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-10-23;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-10-24;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-10-25;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-10-28;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-10-29;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-10-30;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-10-31;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-01;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-04;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-05;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-06;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-07;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-08;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-11;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-12;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-13;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-14;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-18;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-19;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-21;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-22;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-25;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-26;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-27;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-28;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-11-29;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-02;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-03;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-04;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-05;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-06;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-09;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-10;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-11;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-12;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-13;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-16;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-17;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-18;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-19;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-20;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-23;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-26;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-27;21.0;21.0;21.0;21.0;9.065986633300781;0
2013-12-30;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-02;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-03;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-06;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-07;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-08;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-09;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-10;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-13;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-14;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-15;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-16;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-17;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-20;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-21;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-22;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-23;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-24;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-27;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-28;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-29;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-30;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-01-31;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-02-03;21.0;21.0;21.0;21.0;9.065986633300781;0
2014-02-04;21.0;21.0;21.0;21.0;9.065986633300781;0
